storeAverage,storeDayAverage,storeMonthCustomers,Promo,Open,SchoolHoliday,StateHoliday,Year,Month,Day,Assortment,StoreType,CompetitionDistance,CompetitionOpenDays,Promo2,OpenedDays,nextCloseDay,Sales
9363.63826367,8853.46938776,1071.56,1,1,0,0,2015,9,17,3,1,540,4492.0,0,4.0,1.0,0.0
6004.64313222,5303.70967742,504.921568627,1,1,0,0,2015,9,17,1,4,1090,3092.0,0,4.0,1.0,0.0
4852.57124519,4754.78225806,590.68627451,1,1,0,0,2015,9,17,1,1,260,3274.0,0,4.0,1.0,0.0
4902.33891753,4728.45967742,647.882352941,1,1,0,0,2015,9,17,1,1,180,0.0,0,4.0,1.0,0.0
5335.05948553,5082.8877551,364.2,1,1,0,0,2015,9,17,3,4,1180,0.0,0,4.0,1.0,0.0
10178.1360719,9806.56451613,1073.23529412,1,1,0,0,2015,9,17,3,1,290,0.0,0,4.0,1.0,0.0
6822.9139923,6734.39516129,595.352941176,1,1,0,0,2015,9,17,1,4,4880,0.0,0,4.0,1.0,0.0
5348.46983312,5256.79032258,388.588235294,1,1,0,0,2015,9,17,1,4,9710,594.0,0,4.0,1.0,0.0
5352.29099678,4972.47959184,622.56,1,1,0,0,2015,9,17,1,3,1200,3669.0,0,4.0,1.0,0.0
7145.10204082,7127.5511811,889.078431373,1,1,0,0,2015,9,17,3,1,270,900.0,0,4.0,1.0,0.0
3934.96683673,3877.64566929,409.588235294,1,1,0,0,2015,9,17,1,1,1060,1235.0,0,4.0,1.0,0.0
7304.11325611,6744.33870968,516.490196078,1,1,0,0,2015,9,17,3,4,18010,2939.0,0,4.0,1.0,0.0
4256.07060334,4009.67741935,340.392156863,1,1,0,0,2015,9,17,1,4,6260,2147.0,0,4.0,1.0,0.0
6675.28617363,6353.02040816,486.04,1,1,0,0,2015,9,17,3,1,10570,809.0,0,4.0,1.0,0.0
7407.94533762,7219.12244898,523.4,1,1,0,0,2015,9,17,3,4,450,535.0,0,4.0,1.0,0.0
5264.80739796,5284.69291339,560.803921569,1,1,0,0,2015,9,17,3,1,30360,747.0,0,4.0,1.0,0.0
7321.75416133,6909.33870968,468.294117647,1,1,0,0,2015,9,17,3,4,6620,1296.0,1,4.0,1.0,0.0
6336.15890851,5901.09090909,485.2,1,1,0,0,2015,9,17,3,1,7340,2696.0,0,4.0,1.0,0.0
4722.00514801,4308.23387097,536.647058824,1,1,0,0,2015,9,17,3,1,350,2848.0,0,4.0,1.0,0.0
6503.86649551,6533.2016129,696.254901961,1,1,0,0,2015,9,17,1,1,2050,0.0,0,4.0,1.0,0.0
6956.3877551,6710.88976378,602.490196078,1,1,0,0,2015,9,17,3,3,3700,1935.0,0,4.0,1.0,0.0
10359.5250321,10238.5483871,773.862745098,1,1,0,0,2015,9,17,3,4,22560,0.0,0,4.0,1.0,0.0
6114.36036036,5996.25,496.411764706,1,1,0,0,2015,9,17,1,4,7660,0.0,0,4.0,1.0,0.0
7828.93050193,7814.83064516,755.62745098,1,1,0,0,2015,9,17,3,1,410,3516.0,0,4.0,1.0,0.0
7563.25255102,7053.55905512,1092.74509804,1,1,0,0,2015,9,17,3,1,250,0.0,1,4.0,1.0,0.0
9426.45198464,9158.80645161,1131.31372549,1,1,0,0,2015,9,17,3,3,1130,0.0,0,4.0,1.0,0.0
6608.02813299,6249.19047619,645.666666667,1,1,0,0,2015,9,17,3,3,4840,0.0,0,4.0,1.0,0.0
9061.09756098,8735.18548387,721.333333333,1,1,0,0,2015,9,17,1,1,17500,2604.0,1,4.0,1.0,0.0
4420.02568218,4371.67676768,454.6,1,1,0,0,2015,9,17,1,1,2200,2117.0,0,4.0,1.0,0.0
4576.97831633,4853.90551181,487.431372549,1,1,0,0,2015,9,17,3,1,1650,2573.0,0,4.0,1.0,0.0
6256.63015464,6041.45967742,830.901960784,1,1,0,0,2015,9,17,1,1,330,0.0,0,4.0,1.0,0.0
6023.45408163,5835.91338583,610.333333333,1,1,0,0,2015,9,17,3,4,22440,656.0,0,4.0,1.0,0.0
8999.54735152,8514.65656566,907.96,1,1,0,0,2015,9,17,3,4,19960,3488.0,0,4.0,1.0,0.0
7621.48911652,7177.30645161,653.215686275,1,1,0,0,2015,9,17,3,4,1090,2239.0,0,4.0,1.0,0.0
5474.24066924,5243.23387097,528.509803922,1,1,0,0,2015,9,17,1,1,3320,0.0,0,4.0,1.0,0.0
7616.27342747,7258.40322581,552.098039216,1,1,0,0,2015,9,17,1,4,7910,0.0,0,4.0,1.0,0.0
6985.68810289,6094.81632653,532.48,1,1,0,0,2015,9,17,1,1,2370,1662.0,0,4.0,1.0,0.0
9019.6534018,9478.10483871,809.352941176,1,1,0,0,2015,9,17,1,1,22390,2726.0,0,4.0,1.0,0.0
3887.70603338,3685.68548387,334.62745098,1,1,0,0,2015,9,17,1,1,2710,0.0,0,4.0,1.0,0.0
12955.9974326,12287.1693548,1381.31372549,1,1,0,0,2015,9,17,3,1,11810,413.0,0,4.0,1.0,0.0
4695.0218509,4552.70967742,602.37254902,1,1,0,0,2015,9,17,1,1,480,3881.0,0,4.0,1.0,0.0
5971.3392283,5795.98979592,616.64,1,1,0,0,2015,9,17,1,1,2380,4096.0,0,4.0,1.0,0.0
8416.76863753,7969.33870968,1016.70588235,1,1,0,0,2015,9,17,1,1,330,2878.0,0,4.0,1.0,0.0
5559.00257069,5382.58064516,616.078431373,1,1,0,0,2015,9,17,1,3,2410,0.0,0,4.0,1.0,0.0
5996.68421053,5627.91129032,514.156862745,1,1,0,0,2015,9,17,1,3,240,0.0,0,4.0,1.0,0.0
5965.1758665,6029.01612903,586.254901961,1,1,0,0,2015,9,17,1,1,16690,0.0,0,4.0,1.0,0.0
7121.14377407,6966.44354839,632.352941176,1,1,0,0,2015,9,17,3,4,14620,0.0,0,4.0,1.0,0.0
5109.86392811,4943.17741935,443.31372549,1,1,0,0,2015,9,17,3,4,15140,3213.0,0,4.0,1.0,0.0
5130.52090032,4720.44897959,445.64,1,1,0,0,2015,9,17,3,3,2030,4339.0,1,4.0,1.0,0.0
7964.41254125,7470.16842105,643.04,1,1,0,0,2015,9,17,1,4,17930,0.0,0,4.0,1.0,0.0
7469.87755102,7204.71653543,767.529411765,1,1,0,0,2015,9,17,3,4,2440,0.0,1,4.0,1.0,0.0
7061.16212711,6549.70967742,1013.92156863,1,1,0,0,2015,9,17,1,1,150,2848.0,1,4.0,1.0,0.0
4441.36737401,4360.95,489.019607843,1,1,0,0,2015,9,17,3,1,6190,0.0,1,4.0,1.0,0.0
7336.58928571,6889.30708661,922.37254902,1,1,0,0,2015,9,17,1,1,1930,2208.0,0,4.0,1.0,0.0
11035.3601286,10283.1326531,793.48,1,1,0,0,2015,9,17,3,4,2190,4400.0,0,4.0,1.0,0.0
6464.32397959,6252.88976378,721.745098039,1,1,0,0,2015,9,17,3,1,3300,1782.0,0,4.0,1.0,0.0
4534.42984694,4650.58267717,580.0,1,1,0,0,2015,9,17,3,1,46590,900.0,0,4.0,1.0,0.0
6771.74519846,6512.99193548,581.137254902,1,1,0,0,2015,9,17,3,4,7890,0.0,0,4.0,1.0,0.0
6229.44897959,5901.12598425,748.862745098,1,1,0,0,2015,9,17,1,1,1630,2208.0,0,4.0,1.0,0.0
7199.07717042,6514.17346939,730.16,1,1,0,0,2015,9,17,3,4,20930,5800.0,0,4.0,1.0,0.0
7371.68971061,6504.57142857,538.32,1,1,0,0,2015,9,17,3,4,5740,3092.0,0,4.0,1.0,0.0
3881.9563543,3880.0,484.431372549,1,1,0,0,2015,9,17,1,1,3450,1478.0,0,4.0,1.0,0.0
7781.60613811,7128.57936508,660.725490196,1,1,0,0,2015,9,17,3,4,3580,1112.0,0,4.0,1.0,0.0
6005.08545918,5715.92125984,645.843137255,1,1,0,0,2015,9,17,3,1,2100,2055.0,0,4.0,1.0,0.0
7110.10243278,6801.97580645,623.568627451,1,1,0,0,2015,9,17,1,4,2290,291.0,0,4.0,1.0,0.0
6462.01468927,6395.41984733,806.533333333,1,1,0,0,2015,9,17,3,1,58260,900.0,0,139.0,1.0,0.0
4424.14634146,4157.02419355,494.470588235,1,1,0,0,2015,9,17,1,1,1410,4553.0,0,4.0,1.0,0.0
6507.75353017,6626.86290323,533.098039216,1,1,0,0,2015,9,17,1,4,3370,352.0,0,4.0,1.0,0.0
5238.1540931,4715.3030303,615.48,1,1,0,0,2015,9,17,1,4,1350,3578.0,0,4.0,1.0,0.0
7454.67221511,6940.96774194,579.509803922,1,1,0,0,2015,9,17,3,4,2000,0.0,0,4.0,1.0,0.0
9208.12057878,8956.54081633,1115.6,1,1,0,0,2015,9,17,1,1,2460,0.0,0,4.0,1.0,0.0
5121.06274008,5037.60483871,551.31372549,1,1,0,0,2015,9,17,1,3,900,0.0,0,4.0,1.0,0.0
5275.40436457,5054.95967742,538.274509804,1,1,0,0,2015,9,17,1,3,920,79.0,0,4.0,1.0,0.0
6283.25562701,5981.98979592,543.08,1,1,0,0,2015,9,17,3,4,1040,0.0,0,4.0,1.0,0.0
5952.41613316,5585.57258065,521.862745098,1,1,0,0,2015,9,17,1,4,5190,0.0,0,4.0,1.0,0.0
5488.81832797,5095.44897959,444.6,1,1,0,0,2015,9,17,3,1,2200,1752.0,0,4.0,1.0,0.0
8274.98231511,7870.19387755,909.64,1,1,0,0,2015,9,17,1,1,1730,79.0,0,4.0,1.0,0.0
6464.14951768,6350.53061224,489.32,1,1,0,0,2015,9,17,1,1,1700,2817.0,0,4.0,1.0,0.0
7469.04993598,7370.09677419,938.352941176,1,1,0,0,2015,9,17,3,1,1090,1905.0,0,4.0,1.0,0.0
5540.74131274,5425.99193548,595.274509804,1,1,0,0,2015,9,17,3,3,1540,0.0,1,4.0,1.0,0.0
4603.96534018,4454.25,547.705882353,1,1,0,0,2015,9,17,1,1,1090,4827.0,0,4.0,1.0,0.0
6314.75609756,5982.48387097,570.039215686,1,1,0,0,2015,9,17,1,4,2930,4674.0,0,4.0,1.0,0.0
7718.2064,8083.71428571,752.12,1,1,0,0,2015,9,17,3,1,16570,0.0,0,4.0,1.0,0.0
8342.26315789,8218.45744681,1335.24,1,1,0,0,2015,9,17,1,1,280,0.0,0,4.0,1.0,0.0
7812.83055199,7497.96774194,683.058823529,1,1,0,0,2015,9,17,3,4,8050,19710.0,0,4.0,1.0,0.0
8212.55840822,7481.32258065,855.529411765,1,1,0,0,2015,9,17,3,4,8540,0.0,0,4.0,1.0,0.0
5567.48392283,5475.04081633,480.4,1,1,0,0,2015,9,17,1,4,2610,3366.0,0,4.0,1.0,0.0
8417.24107143,8157.24409449,791.62745098,1,1,0,0,2015,9,17,3,3,31830,2027.0,0,4.0,1.0,0.0
5541.93966624,5324.92741935,599.647058824,1,1,0,0,2015,9,17,1,1,1780,0.0,0,4.0,1.0,0.0
7066.81258023,7119.35483871,618.823529412,1,1,0,0,2015,9,17,1,1,16240,5465.0,0,4.0,1.0,0.0
8737.57362356,8609.0,723.196078431,1,1,0,0,2015,9,17,3,4,16420,0.0,0,4.0,1.0,0.0
6886.85232745,6266.07070707,608.92,1,1,0,0,2015,9,17,1,4,3050,0.0,0,4.0,1.0,0.0
9722.79075738,9468.34677419,981.156862745,1,1,0,0,2015,9,17,3,1,2950,4004.0,0,4.0,1.0,0.0
8156.86521181,7565.02419355,495.058823529,1,1,0,0,2015,9,17,3,4,11840,0.0,0,4.0,1.0,0.0
7748.60834671,7194.32323232,654.24,1,1,0,0,2015,9,17,1,4,8530,931.0,0,4.0,1.0,0.0
5730.6581306,5757.44354839,544.705882353,1,1,0,0,2015,9,17,3,4,17110,3608.0,0,4.0,1.0,0.0
7252.59820282,6750.13709677,799.960784314,1,1,0,0,2015,9,17,3,1,2970,3853.0,0,4.0,1.0,0.0
7768.1318822,7317.4516129,542.803921569,1,1,0,0,2015,9,17,3,4,5340,1296.0,0,4.0,1.0,0.0
6210.21829856,6004.70707071,580.08,1,1,0,0,2015,9,17,1,1,1160,3669.0,0,4.0,1.0,0.0
3996.83440514,3844.15306122,415.32,1,1,0,0,2015,9,17,1,1,3720,3822.0,0,4.0,1.0,0.0
5819.24646983,5582.54032258,767.823529412,1,1,0,0,2015,9,17,3,1,100,535.0,0,4.0,1.0,0.0
7517.14800515,7452.87096774,704.137254902,1,1,0,0,2015,9,17,1,1,12540,0.0,0,4.0,1.0,0.0
7218.92819843,6762.47107438,643.509803922,1,1,0,0,2015,9,17,1,4,980,444.0,0,4.0,1.0,0.0
5009.44159178,4749.2016129,536.450980392,1,1,0,0,2015,9,17,1,1,1070,140.0,0,4.0,1.0,0.0
8429.14762516,8223.62903226,838.058823529,1,1,0,0,2015,9,17,1,1,2640,0.0,0,4.0,1.0,0.0
6981.67202572,6551.29591837,780.56,1,1,0,0,2015,9,17,1,1,110,0.0,0,4.0,1.0,0.0
5936.54019293,5501.75510204,440.8,1,1,0,0,2015,9,17,1,1,13090,0.0,0,4.0,1.0,0.0
5784.54846939,5428.67716535,683.0,1,1,0,0,2015,9,17,1,3,4130,0.0,0,4.0,1.0,0.0
5278.17715019,5308.26612903,611.470588235,1,1,0,0,2015,9,17,1,1,3770,0.0,0,4.0,1.0,0.0
7295.27471117,6963.16935484,918.490196078,1,1,0,0,2015,9,17,3,1,480,0.0,0,4.0,1.0,0.0
7220.06122449,7003.13385827,824.666666667,1,1,0,0,2015,9,17,1,4,5800,1843.0,0,4.0,1.0,0.0
6382.69823435,6528.27272727,648.56,1,1,0,0,2015,9,17,1,1,12610,931.0,0,4.0,1.0,0.0
5304.65428937,5011.33870968,408.784313725,1,1,0,0,2015,9,17,3,4,1390,0.0,1,4.0,1.0,0.0
4821.33551555,4566.88541667,651.24,1,1,0,0,2015,9,17,1,1,9670,0.0,0,4.0,1.0,0.0
6594.2972973,6237.48387097,588.705882353,1,1,0,0,2015,9,17,3,4,3560,0.0,0,4.0,1.0,0.0
3783.8392283,3551.7244898,349.76,1,1,0,0,2015,9,17,1,1,290,1448.0,0,4.0,1.0,0.0
6279.73341837,6020.98425197,763.31372549,1,1,0,0,2015,9,17,3,1,19360,0.0,0,4.0,1.0,0.0
4986.95250321,4634.96774194,404.823529412,1,1,0,0,2015,9,17,1,4,850,0.0,0,4.0,1.0,0.0
8762.92939666,8580.53225806,808.784313725,1,1,0,0,2015,9,17,1,4,5760,444.0,0,4.0,1.0,0.0
7198.95498392,6740.59183673,609.08,1,1,0,0,2015,9,17,1,1,1470,3213.0,0,4.0,1.0,0.0
6838.93729904,6244.82653061,736.84,1,1,0,0,2015,9,17,1,1,1100,778.0,0,4.0,1.0,0.0
9016.83440514,7939.7755102,545.68,1,1,0,0,2015,9,17,3,4,2770,2757.0,0,4.0,1.0,0.0
5362.03603604,4966.62096774,745.196078431,1,1,0,0,2015,9,17,1,1,520,0.0,0,4.0,1.0,0.0
4829.49292149,4653.68548387,421.450980392,1,1,0,0,2015,9,17,3,4,16970,0.0,0,4.0,1.0,0.0
10713.1797176,9859.08064516,1268.68627451,1,1,0,0,2015,9,17,3,1,220,0.0,0,4.0,1.0,0.0
6846.66836735,6406.27559055,788.745098039,1,1,0,0,2015,9,17,1,3,4210,201.0,0,4.0,1.0,0.0
7955.6970475,7675.48387097,594.509803922,1,1,0,0,2015,9,17,3,4,6360,1752.0,1,4.0,1.0,0.0
7729.54428755,7419.76612903,930.254901961,1,1,0,0,2015,9,17,1,1,1650,5465.0,0,4.0,1.0,0.0
5249.35173299,5386.93548387,417.215686275,1,1,0,0,2015,9,17,1,4,20260,0.0,1,4.0,1.0,0.0
6065.79769526,5768.82258065,493.862745098,1,1,0,0,2015,9,17,3,4,5140,1966.0,0,4.0,1.0,0.0
5486.24758842,5289.09183673,504.96,1,1,0,0,2015,9,17,1,1,5630,4674.0,0,4.0,1.0,0.0
7157.55198973,7631.59677419,799.098039216,1,1,0,0,2015,9,17,3,1,380,0.0,0,4.0,1.0,0.0
11184.2066327,10782.8188976,1264.8627451,1,1,0,0,2015,9,17,1,1,6870,0.0,0,4.0,1.0,0.0
5587.78231293,6147.12977099,558.45,1,1,0,0,2015,9,17,3,1,11680,1478.0,0,139.0,1.0,0.0
3193.98459564,3063.65322581,307.666666667,1,1,0,0,2015,9,17,1,4,970,5800.0,0,4.0,1.0,0.0
4775.65688776,4593.27559055,453.078431373,1,1,0,0,2015,9,17,3,1,15050,2573.0,0,4.0,1.0,0.0
8131.04107831,7572.5483871,655.039215686,1,1,0,0,2015,9,17,3,4,4030,566.0,0,4.0,1.0,0.0
9331.87548139,8298.21774194,684.803921569,1,1,0,0,2015,9,17,1,4,8650,809.0,0,4.0,1.0,0.0
6313.49275362,5832.53608247,442.44,1,1,0,0,2015,9,17,1,4,150,0.0,0,4.0,1.0,0.0
7226.7757732,6741.44354839,866.176470588,1,1,0,0,2015,9,17,1,3,190,0.0,0,4.0,1.0,0.0
4700.8877551,4703.57480315,620.196078431,1,1,0,0,2015,9,17,1,3,3150,0.0,0,4.0,1.0,0.0
5018.57717042,5437.21428571,686.44,1,1,0,0,2015,9,17,3,1,640,0.0,1,4.0,1.0,0.0
3133.71245186,3123.5,410.156862745,1,1,0,0,2015,9,17,1,1,1640,959.0,0,4.0,1.0,0.0
4906.43298969,4824.14516129,621.705882353,1,1,0,0,2015,9,17,1,1,1000,2573.0,0,4.0,1.0,0.0
5821.8380102,5726.88188976,534.411764706,1,1,0,0,2015,9,17,3,4,13530,747.0,0,4.0,1.0,0.0
6629.74903475,6254.87096774,461.019607843,1,1,0,0,2015,9,17,3,4,7930,0.0,0,4.0,1.0,0.0
7257.29065301,7060.17741935,674.352941176,1,1,0,0,2015,9,17,1,1,450,0.0,0,4.0,1.0,0.0
6020.44791667,5713.76422764,584.523809524,1,1,0,0,2015,9,17,1,1,2370,0.0,0,4.0,1.0,0.0
7946.13992298,7561.07258065,566.823529412,1,1,0,0,2015,9,17,3,4,10800,0.0,0,4.0,1.0,0.0
8645.36328626,8583.45967742,720.431372549,1,1,0,0,2015,9,17,3,4,17410,3092.0,0,4.0,1.0,0.0
7561.64030612,7294.78740157,914.294117647,1,1,0,0,2015,9,17,3,4,6680,747.0,0,4.0,1.0,0.0
4770.27974277,4410.12244898,367.04,1,1,0,0,2015,9,17,3,4,3840,2543.0,0,4.0,1.0,0.0
9431.08962868,9138.33870968,988.235294118,1,1,0,0,2015,9,17,1,1,1890,0.0,0,4.0,1.0,0.0
11072.3157895,9954.90322581,984.901960784,1,1,0,0,2015,9,17,1,4,4370,0.0,0,4.0,1.0,0.0
5935.44814341,5911.88709677,493.098039216,1,1,0,0,2015,9,17,1,1,5710,1296.0,0,4.0,1.0,0.0
7661.71801567,7511.58536585,1082.39215686,1,1,0,0,2015,9,17,1,1,320,0.0,0,4.0,1.0,0.0
5071.21052632,4884.60483871,476.117647059,1,1,0,0,2015,9,17,3,4,610,0.0,0,4.0,1.0,0.0
6583.22721438,6070.62903226,698.392156863,1,1,0,0,2015,9,17,3,4,780,0.0,0,4.0,1.0,0.0
4093.09475032,3966.99193548,353.058823529,1,1,0,0,2015,9,17,1,4,6880,5130.0,0,4.0,1.0,0.0
7074.070626,6979.37373737,905.08,1,1,0,0,2015,9,17,1,1,310,0.0,0,4.0,1.0,0.0
5271.09884467,4708.40322581,522.68627451,1,1,0,0,2015,9,17,1,4,710,1296.0,0,4.0,1.0,0.0
8897.66325224,8569.78225806,1011.47058824,1,1,0,0,2015,9,17,3,1,1310,0.0,0,4.0,1.0,0.0
7081.05484694,7000.78740157,910.156862745,1,1,0,0,2015,9,17,1,3,4660,900.0,0,4.0,1.0,0.0
8576.7106274,8327.30645161,657.431372549,1,1,0,0,2015,9,17,3,4,70,1782.0,0,4.0,1.0,0.0
8362.17091837,8159.87401575,1088.76470588,1,1,0,0,2015,9,17,3,1,340,1112.0,0,4.0,1.0,0.0
5285.82397959,5357.54330709,526.31372549,1,1,0,0,2015,9,17,3,4,18010,382.0,0,4.0,1.0,0.0
8470.62355954,7782.83064516,618.352941176,1,1,0,0,2015,9,17,1,4,3520,0.0,0,4.0,1.0,0.0
19123.0680359,18477.233871,2321.50980392,1,1,0,0,2015,9,17,3,1,340,0.0,0,4.0,1.0,0.0
10615.5121951,10075.7903226,754.019607843,1,1,0,0,2015,9,17,3,4,22330,0.0,0,4.0,1.0,0.0
5746.72400513,5431.23387097,677.156862745,1,1,0,0,2015,9,17,3,1,250,0.0,0,4.0,1.0,0.0
3005.98331194,2690.16129032,243.941176471,1,1,0,0,2015,9,17,1,4,330,2757.0,1,4.0,1.0,0.0
6271.1309371,5808.66129032,608.058823529,1,1,0,0,2015,9,17,3,3,4630,1662.0,0,4.0,1.0,0.0
9832.87886598,9296.51612903,1257.47058824,1,1,0,0,2015,9,17,3,1,80,3669.0,1,4.0,1.0,0.0
5642.09646302,5582.91836735,489.08,1,1,0,0,2015,9,17,1,1,27190,1905.0,0,4.0,1.0,0.0
11643.638412,11689.7835821,2361.93333333,1,1,0,0,2015,9,17,2,2,210,0.0,0,953.0,1.0,0.0
20718.5159236,19705.4074074,3298.25,1,1,0,0,2015,9,17,1,2,1180,870.0,0,990.0,1.0,0.0
3707.51607717,3207.73469388,334.48,1,1,0,0,2015,9,17,3,1,1140,870.0,0,4.0,1.0,0.0
4954.82926829,5052.62903226,470.980392157,1,1,0,0,2015,9,17,1,1,4580,0.0,0,4.0,1.0,0.0
9289.16071429,9974.24409449,1013.88235294,1,1,0,0,2015,9,17,1,3,2460,1356.0,0,4.0,1.0,0.0
4881.17346939,4611.22834646,592.431372549,1,1,0,0,2015,9,17,1,1,4520,594.0,0,4.0,1.0,0.0
9346.70603338,8857.97580645,1202.70588235,1,1,0,0,2015,9,17,3,1,60,109.0,0,4.0,1.0,0.0
6237.31498079,6473.06451613,620.294117647,1,1,0,0,2015,9,17,1,1,16180,4462.0,0,4.0,1.0,0.0
7059.64826701,6709.91129032,706.137254902,1,1,0,0,2015,9,17,3,1,8480,0.0,0,4.0,1.0,0.0
4070.82832618,3802.15789474,974.683333333,1,1,0,0,2015,9,17,2,2,3640,0.0,0,5.0,1.0,0.0
7443.84244373,6578.97959184,740.04,1,1,0,0,2015,9,17,1,4,300,505.0,0,4.0,1.0,0.0
6444.5192926,5999.17346939,530.44,1,1,0,0,2015,9,17,3,4,7840,0.0,0,4.0,1.0,0.0
7142.16709184,7152.06299213,776.960784314,1,1,0,0,2015,9,17,3,1,9260,2055.0,0,4.0,1.0,0.0
8881.08988764,7735.21212121,608.76,1,1,0,0,2015,9,17,3,4,2320,0.0,0,4.0,1.0,0.0
6267.48906049,6192.31451613,514.254901961,1,1,0,0,2015,9,17,3,4,18640,747.0,1,4.0,1.0,0.0
5860.61734694,5744.84251969,527.215686275,1,1,0,0,2015,9,17,3,4,6970,1478.0,0,4.0,1.0,0.0
7114.15916399,6703.16326531,686.8,1,1,0,0,2015,9,17,1,1,2260,0.0,0,4.0,1.0,0.0
5413.25080386,4730.46938776,415.56,1,1,0,0,2015,9,17,1,4,1290,0.0,0,4.0,1.0,0.0
5154.92445583,4523.5483871,455.078431373,1,1,0,0,2015,9,17,1,1,2410,0.0,0,4.0,1.0,0.0
8152.40032154,7403.23469388,792.36,1,1,0,0,2015,9,17,1,3,2740,2331.0,0,4.0,1.0,0.0
5625.73311897,5508.20408163,408.68,1,1,0,0,2015,9,17,1,4,800,0.0,1,4.0,1.0,0.0
6321.22791293,5926.00806452,524.745098039,1,1,0,0,2015,9,17,1,4,6540,2848.0,0,4.0,1.0,0.0
7014.15789474,6663.40322581,666.333333333,1,1,0,0,2015,9,17,1,1,4150,5253.0,0,4.0,1.0,0.0
5770.28040973,5996.41935484,716.058823529,1,1,0,0,2015,9,17,1,1,3150,3792.0,0,4.0,1.0,0.0
5285.43114543,4897.72580645,688.764705882,1,1,0,0,2015,9,17,1,1,210,5434.0,1,4.0,1.0,0.0
6963.4609475,7067.09677419,756.333333333,1,1,0,0,2015,9,17,1,1,9580,3062.0,0,4.0,1.0,0.0
6992.07078507,6794.2983871,676.705882353,1,1,0,0,2015,9,17,1,1,2300,1843.0,0,4.0,1.0,0.0
8398.61736334,8014.17346939,659.0,1,1,0,0,2015,9,17,1,4,19840,2270.0,0,4.0,1.0,0.0
6235.30612245,5916.98473282,725.4,1,1,0,0,2015,9,17,3,4,38630,1112.0,0,139.0,1.0,0.0
7077.59590793,6826.48387097,863.098039216,1,1,0,0,2015,9,17,3,1,120,2361.0,0,4.0,1.0,0.0
